sensor_id,timestamp,latitude,longitude,sensor_type,reading_value,status,zone
1223,2023-01-01 00:03:00,37.00714575084953,-122.1837813603336,temp,19.15747229420606,active,
1724,2023-01-01 00:05:00,37.507471769455,-121.56888398448032,humidity,20.295671977438666,active,
1514,2023-01-01 00:07:00,37.60948900283152,-122.27663012320134,flood,30.07021767345461,active,
1129,2023-01-01 00:08:00,37.24315398395107,-122.3394651970294,humidity,50.51619119964348,active,
1750,2023-01-01 00:15:00,37.963195572839865,-122.37682523684288,humidity,44.84684024984607,active,
1008,2023-01-01 00:17:00,37.2808467649298,-121.75714533999148,humidity,7.713270262632732,active,
1158,2023-01-01 00:19:00,37.95013606337166,-121.98099606799232,flood,49.43686407114326,active,
1610,2023-01-01 00:22:00,37.12865060682628,-122.4750070906493,humidity,12.42421799886252,active,
1331,2023-01-01 00:23:00,37.81880744395326,-122.17480348252737,temp,74.11307014922815,active,
1788,2023-01-01 00:27:00,37.32756156157001,-122.32492048890968,temp,47.14742372222486,active,
1378,2023-01-01 00:28:00,37.9167854262413,-122.2461955218511,humidity,46.58091340821715,active,
1317,2023-01-01 00:32:00,37.62495538826192,-121.80420269197664,flood,51.83545840332931,active,
1219,2023-01-01 00:37:00,37.91548860005016,-122.043738576077,humidity,11.332800070363358,active,
1716,2023-01-01 00:39:00,37.36877954597541,-122.17333984214048,humidity,4.442640376015572,active,
1035,2023-01-01 00:41:00,37.26910744488935,-121.9835170572946,temp,51.11650211351117,active,
1951,2023-01-01 00:42:00,37.93912028825775,-122.19375297119942,temp,89.92808405654303,active,
1682,2023-01-01 00:43:00,37.12147190783055,-122.43859615678798,humidity,40.15134737203279,active,
1606,2023-01-01 00:44:00,37.91053238409268,-121.93264536089436,temp,83.09463304249378,active,
1964,2023-01-01 00:45:00,37.27589670917602,-122.28393935431686,temp,94.60738223202416,active,
1817,2023-01-01 00:46:00,37.300668083658366,-121.93122024508544,humidity,40.115456040046446,active,
1115,2023-01-01 00:53:00,37.35362915916088,-121.5874310494082,seismic,73.305360202221,active,
1389,2023-01-01 00:54:00,37.019175371898335,-122.2236861974169,temp,79.56815322374585,active,
1762,2023-01-01 00:56:00,37.06802262487668,-121.58306501988422,humidity,0.8475881126978946,active,
1574,2023-01-01 00:58:00,37.43732088724202,-122.31137459510822,temp,63.85503325241362,active,
1875,2023-01-01 01:00:00,37.69543334417363,-122.31313966693187,seismic,19.257882603190744,active,
1384,2023-01-01 01:03:00,37.43750702980949,-121.82744129601224,seismic,98.03460786507394,active,
1160,2023-01-01 01:04:00,37.35739691394045,-122.31245278959202,temp,40.29072446347804,active,
1423,2023-01-01 01:05:00,37.16485304706927,-121.62281137218469,temp,41.63807908370442,active,
1797,2023-01-01 01:13:00,37.08267928998392,-122.40795294523804,seismic,58.34092606231026,active,
1214,2023-01-01 01:14:00,37.505086532720696,-121.60057679448155,seismic,47.27695868554256,active,
1888,2023-01-01 01:19:00,37.38067728146513,-122.11172450138388,seismic,27.128321057940298,active,
1328,2023-01-01 01:21:00,37.6513941996886,-121.82528721676805,humidity,10.729973743964704,active,
1296,2023-01-01 01:27:00,37.989358381617606,-122.45917074468616,humidity,84.70423325299588,active,
1277,2023-01-01 01:32:00,37.43289271688509,-121.84633102330292,humidity,8.251539958763987,active,
1668,2023-01-01 01:34:00,37.97950846334673,-121.88044515644935,temp,45.01770515185528,active,
1004,2023-01-01 01:35:00,37.80580733443665,-121.66322088845968,flood,86.36941044172228,active,
1441,2023-01-01 01:37:00,37.61457277603914,-121.9345426386767,humidity,33.905700315693565,active,
1665,2023-01-01 01:38:00,37.17707245968602,-122.20341931968832,temp,28.665288763919584,active,
1985,2023-01-01 01:39:00,37.7536649252712,-122.23123243467153,flood,66.55611994648865,active,
1016,2023-01-01 01:40:00,37.327861866517786,-122.196861522102,flood,6.357437820999346,active,
1716,2023-01-01 01:47:00,37.88732861791375,-121.55251786643387,temp,21.990358530482347,active,
1099,2023-01-01 01:49:00,37.1993571778043,-122.41948002275164,flood,44.86036072641457,active,
1364,2023-01-01 01:50:00,37.86360256935684,-122.33370432515228,seismic,73.49774225122937,active,
1507,2023-01-01 01:52:00,37.59817869356521,-121.6073508388598,flood,98.77776911569303,active,
1464,2023-01-01 01:58:00,37.02380169633525,-122.28420029070136,humidity,93.9822959317077,active,
1857,2023-01-01 02:01:00,37.17330116567515,-122.0711664740778,seismic,77.34787411468926,active,
1114,2023-01-01 02:04:00,37.36887284694176,-121.72698088257332,seismic,98.88078229597085,active,
1834,2023-01-01 02:05:00,37.39434831896007,-122.42631988383472,temp,26.36358176898583,active,
1907,2023-01-01 02:06:00,37.75356445771837,-122.33869566243814,seismic,63.15814129110972,active,
1985,2023-01-01 02:09:00,37.50807756352896,-121.98035423603606,flood,54.0666796546633,active,
1906,2023-01-01 02:10:00,37.73450650352632,-121.77828987016166,flood,86.35553830480079,active,
1777,2023-01-01 02:11:00,37.772339058325535,-121.7798209638219,flood,52.87243490586408,active,
1982,2023-01-01 02:14:00,37.821003358710094,-122.19701387629571,temp,13.759527593826014,active,
1740,2023-01-01 02:15:00,37.04417955497495,-121.78251730589037,temp,87.3987693680203,active,
1492,2023-01-01 02:17:00,37.79860107220585,-121.97755336536532,humidity,88.20846581039795,active,
1125,2023-01-01 02:18:00,37.18465654162591,-122.17116385771102,flood,98.63714289640636,active,
1474,2023-01-01 02:20:00,37.73704919027721,-121.698589212067,flood,48.42292744339433,active,
1250,2023-01-01 02:28:00,37.220830424847726,-121.9831017445988,flood,9.865925643552307,active,
1155,2023-01-01 02:35:00,37.523062101684594,-122.42374859328632,flood,31.240358852834305,active,
1708,2023-01-01 02:38:00,37.73352279772401,-121.56052691862624,humidity,88.2212842965862,active,
1114,2023-01-01 02:39:00,37.29749571813682,-121.54467605251008,flood,96.03000238270552,active,
1470,2023-01-01 02:49:00,37.59116550580466,-121.69328202603822,humidity,27.99699904884877,active,
1166,2023-01-01 02:53:00,37.05959703368647,-121.92893585414774,temp,28.64108184401372,active,
1811,2023-01-01 02:57:00,37.55943077924309,-122.2551960948746,seismic,70.43291774467184,active,
1609,2023-01-01 02:59:00,37.97212269186259,-122.0029380241444,humidity,63.25912605325536,active,
1835,2023-01-01 03:00:00,37.09257722296214,-121.84531285490024,temp,34.33751557503628,active,
1908,2023-01-01 03:02:00,37.53664588276386,-122.14896054617732,seismic,99.13274764655915,active,
1047,2023-01-01 03:03:00,37.21091481237537,-122.33782725084488,flood,77.90383574744713,active,
1714,2023-01-01 03:06:00,37.288228201353455,-121.78507507571734,seismic,35.864103884086816,active,
1052,2023-01-01 03:07:00,37.45811845886696,-122.19848261211972,flood,14.634530288687674,active,
1838,2023-01-01 03:09:00,37.22964821895914,-122.0411222796891,flood,53.98619617318471,active,
1591,2023-01-01 03:20:00,37.239195813424544,-122.42951267959587,humidity,15.813675954087737,active,
1750,2023-01-01 03:23:00,37.70429478341639,-121.89574353877356,flood,20.504605214249427,active,
1108,2023-01-01 03:25:00,37.60567221673288,-122.05846254414551,flood,52.40684151476487,active,
1099,2023-01-01 03:28:00,37.0290804412753,-122.03863964366684,humidity,57.06814819952678,active,
